"","logFC","logCPM","LR","PValue","FDR"
"Bra008736",-0.210271822724893,4.85323525327436,1.45796783688636,0.227253736101852,0.562421367442686
"Bra019082",0.179097123776219,4.76904569477592,1.45795422798794,0.227255905143366,0.562421367442686
"Bra006140",-0.256945207415057,5.90698004298788,1.45785819189024,0.227271212474135,0.562421367442686
"Bra016082",-0.279604104000125,3.47099996204752,1.457701610812,0.227296172813339,0.562425225717676
"Bra024248",-0.450411679567816,2.52929966265926,1.45743191465552,0.227339172371701,0.562473715130889
"Bra032449",0.176537485803925,5.01387348761389,1.45716097975025,0.227382379278014,0.562522707521131
"Bra037353",-0.401954025119179,1.65514051243254,1.45671533882707,0.227453468616637,0.562640661252806
"Bra009097",0.268339809510162,3.32926347080144,1.45651222644353,0.227485878285793,0.562662920522872
"Bra029752",-0.240049305357762,7.10575065604902,1.45562354724279,0.227627745865285,0.562954261679107
"Bra010899",0.532846680459276,1.04551550295433,1.45548098222488,0.227650514656705,0.562954261679107
"Bra001301",0.382691910471856,1.66185247683541,1.45517936994278,0.227698693613311,0.563015473487893
"Bra018867",-0.194088921560771,6.56516537687316,1.45389244648196,0.227904402062228,0.563312361486222
"Bra000839",-0.271097330410347,3.02323447505173,1.4534210328406,0.227979811157764,0.563312361486222
"Bra004553",0.187615950954936,5.46140791475549,1.45335703378931,0.227990050999491,0.563312361486222
"Bra022957",0.368916904747509,2.45862541891113,1.45308646539188,0.228033348028686,0.563312361486222
"Bra006418",0.467794334691505,2.52167276850275,1.45287829843367,0.228066666155224,0.563312361486222
"Bra014396",-0.318848364849719,3.0500958604757,1.45286455706315,0.228068865733908,0.563312361486222
"Bra031125",-0.226057804754091,4.42941891553966,1.45280656173543,0.228078149316574,0.563312361486222
"Bra007054",0.472025402316473,1.03933977197488,1.452781142469,0.228082218440398,0.563312361486222
"Bra002473",0.204044344611203,4.91093240903207,1.45275940455051,0.228085698322199,0.563312361486222
"Bra040332",0.195421044287125,4.56996936355741,1.45261320853693,0.228109103548898,0.563312361486222
